Nacionalna šifra zdravila;Ime zdravila;ATC;Naziv ATC;Lista;Omejitev predpisovanja in izdajanja v breme javnih sredstev;Datum prièetka veljavnosti
274445;Supportan drink kapuèino EasyBottle 200 ml 4x;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Le za ambulantno zdravljene bolnike z rakasto kaheksijo:- na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke z rakasto kaheksijo, na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke ali pediatra ustrezne specialnosti, za obdobje, navedeno v izvidu.;23.2.2015
276073;Fresubin original drink vanilija EasyBotle 200 ml 4x;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Za ambulantno zdravljene bolnike: - na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), - za podhranjene osebe z motnjami hranjenja, ki imajo indeks telesne mase pod 17 kg/m2 na podlagi predpisa pooblašèenega psihiatra, - odrasle bolnike s cistièno fibrozo, èe je ITM manjši od 18,5 kg/m2 ali pa je prišlo v 2 mesecih do padca ITM za 5%, kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ali pooblašèenem psihiatru, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke, pediatra ustrezne specialnosti, ali pooblašèenega psihiatra za obdobje, navedeno v izvidu.;23.2.2015
276103;Fresubin original drink lešnik EasyBotle 200 ml 4x;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Za ambulantno zdravljene bolnike: - na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), - za podhranjene osebe z motnjami hranjenja, ki imajo indeks telesne mase pod 17 kg/m2 na podlagi predpisa pooblašèenega psihiatra, - odrasle bolnike s cistièno fibrozo, èe je ITM manjši od 18,5 kg/m2 ali pa je prišlo v 2 mesecih do padca ITM za 5%, kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ali pooblašèenem psihiatru, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke, pediatra ustrezne specialnosti, ali pooblašèenega psihiatra za obdobje, navedeno v izvidu.;23.2.2015
276111;Fresubin original drink breskev EasyBotle 200 ml 4x;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Za ambulantno zdravljene bolnike: - na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), - za podhranjene osebe z motnjami hranjenja, ki imajo indeks telesne mase pod 17 kg/m2 na podlagi predpisa pooblašèenega psihiatra, - odrasle bolnike s cistièno fibrozo, èe je ITM manjši od 18,5 kg/m2 ali pa je prišlo v 2 mesecih do padca ITM za 5%, kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ali pooblašèenem psihiatru, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke, pediatra ustrezne specialnosti, ali pooblašèenega psihiatra za obdobje, navedeno v izvidu.;23.2.2015
276766;Fresubin 2 kcal drink gozdni sadeži EasyBotle 200 ml 4x;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Za ambulantno zdravljene bolnike: - na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), - za podhranjene osebe z motnjami hranjenja, ki imajo indeks telesne mase pod 17 kg/m2 na podlagi predpisa pooblašèenega psihiatra, - odrasle bolnike s cistièno fibrozo, èe je ITM manjši od 18,5 kg/m2 ali pa je prišlo v 2 mesecih do padca ITM za 5%, kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ali pooblašèenem psihiatru, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke, pediatra ustrezne specialnosti, ali pooblašèenega psihiatra za obdobje, navedeno v izvidu.;23.2.2015
276774;Fresubin 2 kcal drink vanilija EasyBotle 200 ml 4x;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Za ambulantno zdravljene bolnike: - na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), - za podhranjene osebe z motnjami hranjenja, ki imajo indeks telesne mase pod 17 kg/m2 na podlagi predpisa pooblašèenega psihiatra, - odrasle bolnike s cistièno fibrozo, èe je ITM manjši od 18,5 kg/m2 ali pa je prišlo v 2 mesecih do padca ITM za 5%, kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ali pooblašèenem psihiatru, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke, pediatra ustrezne specialnosti, ali pooblašèenega psihiatra za obdobje, navedeno v izvidu.;23.2.2015
278114;Ensure Plus vanilija 220 ml tetrapak;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Za ambulantno zdravljene bolnike: - na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), - za podhranjene osebe z motnjami hranjenja, ki imajo indeks telesne mase pod 17 kg/m2 na podlagi predpisa pooblašèenega psihiatra, - odrasle bolnike s cistièno fibrozo, èe je ITM manjši od 18,5 kg/m2 ali pa je prišlo v 2 mesecih do padca ITM za 5%, kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ali pooblašèenem psihiatru, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke, pediatra ustrezne specialnosti, ali pooblašèenega psihiatra za obdobje, navedeno v izvidu.;23.2.2015
278122;Ensure Plus èokolada 220 ml tetrapak;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Za ambulantno zdravljene bolnike: - na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), - za podhranjene osebe z motnjami hranjenja, ki imajo indeks telesne mase pod 17 kg/m2 na podlagi predpisa pooblašèenega psihiatra, - odrasle bolnike s cistièno fibrozo, èe je ITM manjši od 18,5 kg/m2 ali pa je prišlo v 2 mesecih do padca ITM za 5%, kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ali pooblašèenem psihiatru, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke, pediatra ustrezne specialnosti, ali pooblašèenega psihiatra za obdobje, navedeno v izvidu.;23.2.2015
279439;Pediasure vanilija 200 ml tetrapak;V06C;Hranila za otroke;VC*;Za ambulantno zdravljene otroke, kadar pediater ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da otrok potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri pediatru ustrezne specialnosti, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni otroški zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor za obdobje, navedeno v izvidu.;23.2.2015
288276;Ensure Plus Fibre èokolada tetrapak 200 ml 1x;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Za ambulantno zdravljene bolnike: - na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), - za podhranjene osebe z motnjami hranjenja, ki imajo indeks telesne mase pod 17 kg/m2 na podlagi predpisa pooblašèenega psihiatra, - odrasle bolnike s cistièno fibrozo, èe je ITM manjši od 18,5 kg/m2 ali pa je prišlo v 2 mesecih do padca ITM za 5%, kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ali pooblašèenem psihiatru, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke, pediatra ustrezne specialnosti, ali pooblašèenega psihiatra za obdobje, navedeno v izvidu.;23.2.2015
289515;Diben drink vanilija EasyBottle 200 ml 4x;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Za ambulantno zdravljene bolnike s spremljajoèo sladkorno boleznijo: - na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), - za podhranjene osebe z motnjami hranjenja, ki imajo indeks telesne mase pod 17 kg/m2 na podlagi predpisa pooblašèenega psihiatra, - odrasle bolnike s cistièno fibrozo, èe je ITM manjši od 18,5 kg/m2 ali pa je prišlo v 2 mesecih do padca ITM za 5%, kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke s spremljajoèo sladkorno boleznijo na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ali pooblašèenem psihiatru, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke, pediatra ustrezne specialnosti, ali pooblašèenega psihiatra za obdobje, navedeno v izvidu.;23.2.2015
289825;Glucerna SR okus èokolada 230 ml tetrapak;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Za ambulantno zdravljene bolnike s spremljajoèo sladkorno boleznijo: - na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), - za podhranjene osebe z motnjami hranjenja, ki imajo indeks telesne mase pod 17 kg/m2 na podlagi predpisa pooblašèenega psihiatra, - odrasle bolnike s cistièno fibrozo, èe je ITM manjši od 18,5 kg/m2 ali pa je prišlo v 2 mesecih do padca ITM za 5%, kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke s spremljajoèo sladkorno boleznijo na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ali pooblašèenem psihiatru, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke, pediatra ustrezne specialnosti, ali pooblašèenega psihiatra za obdobje, navedeno v izvidu.;23.2.2015
289833;Glucerna SR okus vanilije 230 ml tetrapak;V06DB;Mašèobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije;VC*;1. Za ambulantno zdravljene bolnike s spremljajoèo sladkorno boleznijo: - na podlagi Priporoèil za prehransko obravnavo bolnikov, objavljenih na spletnem naslovu: (http://www.mz.gov.si/fileadmin/mz.gov.si/pageuploads/javno_zdravje_09/Priporocila_za_prehransko_obravnavo_bolnikov.pdf), - za podhranjene osebe z motnjami hranjenja, ki imajo indeks telesne mase pod 17 kg/m2 na podlagi predpisa pooblašèenega psihiatra, - odrasle bolnike s cistièno fibrozo, èe je ITM manjši od 18,5 kg/m2 ali pa je prišlo v 2 mesecih do padca ITM za 5%, kadar zdravnik specialist ustrezne kliniène stroke v navedenih indikacijah, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. 2. Za ambulantno zdravljene otroke s spremljajoèo sladkorno boleznijo na osnovi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, kadar pediater ustrezne specialnosti na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da bolnik potrebuje dodaten enteralni vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri specialistu ustrezne kliniène stroke oz. pediatru ustrezne specialnosti, ali pooblašèenem psihiatru, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida specialista ustrezne kliniène stroke, pediatra ustrezne specialnosti, ali pooblašèenega psihiatra za obdobje, navedeno v izvidu.;23.2.2015
292842;NutriniDrink Multi Fibre, okus jagoda plastenka 200 ml 1x;V06C;Hranila za otroke;VC*;Za ambulantno zdravljene otroke, kadar pediater ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da otrok potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri pediatru ustrezne specialnosti, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni otroški zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor za obdobje, navedeno v izvidu.;23.2.2015
292850;NutriniDrink Multi Fibre, okus èokolada plastenka 200 ml 1x;V06C;Hranila za otroke;VC*;Za ambulantno zdravljene otroke, kadar pediater ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da otrok potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri pediatru ustrezne specialnosti, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni otroški zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor za obdobje, navedeno v izvidu.;23.2.2015
292869;NutriniDrink Multi Fibre, okus vanilija plastenka 200 ml 1x;V06C;Hranila za otroke;VC*;Za ambulantno zdravljene otroke, kadar pediater ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor, na osnovi v medicinski dokumentaciji dokumentirane strokovne prehranske obravnave ugotovi, da otrok potrebuje dodaten enteralen vnos hranil zaradi beljakovinsko energijske podhranjenosti ali kaheksije, ker vnosa energije in posameznih hranil ni mogoèe zagotoviti z normalno prehrano. Po treh mesecih od uvedbe enteralne prehrane je potrebno opraviti ponovno prehransko obravnavo pri pediatru ustrezne specialnosti, ki v novem izvidu, èe je prehranska podpora še potrebna, opredeli obdobje do naslednje prehranske obravnave. Osebni otroški zdravnik lahko predpisuje enteralno prehrano na recept na podlagi izvida pediatra ustrezne specialnosti Pediatriène klinike UKC Ljubljana ali Kliniènega oddelka za pediatrijo UKC Maribor za obdobje, navedeno v izvidu.;23.2.2015
